unidade,uf,cidade,nome,ativa
PCB,SP,PIRACICABA-SP,DALLAN RICARDO,N
PCL,MG,POCOS DE CALDAS-MG,DLG POCOS DE CA,N
PEL,RS,PELOTAS-RS,DIBA PUBLICACOE,S
PES,RJ,RIO DE JANEIRO-RJ,WC LOG,S
PET,RS,PELOTAS-RS,UMBRELLA TRANSP,N
PEX,MG,EXTREMA-MG,PRIVALIA BRASIL,S
PFU,RS,PASSO FUNDO-RS,MAROSTICA DISTR,S
PGO,PR,PONTA GROSSA-PR,PERISSUTTI LOGI,N
PGR,PR,PONTA GROSSA-PR,REDE OK LOG,S
PIR,SP,PIRACICABA-SP,THE FLASH,N
PL2,RS,PELOTAS-RS,DIBA PUBLICACOE,N
PLC,SC,PALHOCA-SC,TRANSPORTADORA,S
PLM,RS,PALMEIRA DAS MISSOES,EXCLUSIVA DISTR,N
PLO,SC,ITAJAI-SC,PETLOVE FILIAL,S
PLR,RS,RIO GRANDE-RS,C. M. ENTREGAS,S
PLT,RS,PELOTAS-RS,MBC TRANSPORTES,N
PNG,PR,PONTAL DO PARANA-PR,HOMEGA EXPRESS,S
PNH,RS,PORTO ALEGRE-RS,OPERACOES LOGIS,N
POA,RS,CACHOEIRINHA-RS,DLG PORTO ALEGR,S
POC,MG,POCOS DE CALDAS-MG,MMC TRANSPORTES,S
POD,RS,CACHOEIRINHA-RS,DLG PORTO ALEGR,S
POI,RS,CACHOEIRINHA-RS,DLG PORTO ALEGR,S
POR,RS,CACHOEIRINHA-RS,DLG PORTO ALEGR,S
POW,SC,PALHOCA-SC,ISCAS DIALOGO,S
POX,RS,PORTO ALEGRE-RS,DLG EXPRESSA PO,N
POZ,RS,CACHOEIRINHA-RS,DLG MM AMAZON,S
PPB,SP,PRESIDENTE PRUDENTE-,UP EXPRESS LOGI,N
PRB,RJ,PARACAMBI-RJ,WC LOG,S
PSA,MG,POUSO ALEGRE-MG,DISTRIBUIDORA M,N
PSF,RS,PASSO FUNDO-RS,MURICI TRANSPOR,S
PSO,MG,POUSO ALEGRE-MG,SULMINAS CARGO,N
PSR,RS,PASSO FUNDO-RS,MURICI TRANSPOR,S
PTB,PR,GUARAPUAVA-PR,UERBALOG ENTREG,N
PTL,PE,PETROLINA-PE,JOTAS SERVICE L,S
PTO,PE,PETROLINA-PE,MENORAH EXPRESS,S
PTR,PE,SALGUEIRO-PE,JWC TRANSPORTE,S
QSC,SP,SAO CARLOS-SP,DJR EXPRESS LOG,N
QUE,RJ,QUEIMADOS-RJ,WC LOG,S
RAO,SP,RIBEIRAO PRETO-SP,PREMICI TRANSPO,N
RDJ,RJ,RIO DE JANEIRO-RJ,CS LOG ENTREGAS,S
RDL,SC,RIO DO SUL-SC,AJGUTZLOGISTICA,S
RDS,SC,RIO DO SUL-SC,ESCAVAMAQ LOCAC,S
RDU,SC,RIO DO SUL-SC,LOG STOPASSOLLI,S
REC,PE,JABOATAO DOS GUARARA,LOG SERVICOS E,S
RED,RJ,RIO DE JANEIRO-RJ,DLG RIO DE JANE,S
REF,RS,PORTO ALEGRE-RS,REESTRUTURACAO,S
REG,SP,JUNDIAI-SP,DLG REGISTRO,S
RHM,RS,PORTO ALEGRE-RS,GASTOS CORPORAT,S
RID,SP,JUNDIAI-SP,DLG JUNDIAI VIA,S
RIG,PR,RIO NEGRO-PR,IVANTRANSPORTE,S
RIN,PR,MANDIRITUBA-PR,ORIVALDO RIBEIR,N
RIO,RJ,RIO DE JANEIRO-RJ,DLG RIO DE JANE,S
RIS,SC,RIO DO SUL-SC,4 EXPRESS LOGIS,S
RIT,RS,PORTO ALEGRE-RS,RITMO EXPRESS -,N
RIV,RJ,DUQUE DE CAXIAS-RJ,PA RIV VIA VARE,S
RNG,PR,CURITIBA-PR,TRANSBOLZANITRA,N
RNO,PR,RIO NEGRO-PR,VITORIA TRANSPO,N
ROS,RS,ROSARIO DO SUL-RS,EVIDENCE - CARL,N
RPT,SP,RIBEIRAO PRETO-SP,FRB CMRCIO E SE,N
RQM,SC,RANCHO QUEIMADO-SC,BORGES E HEINZ,N
RRS,RS,ROSARIO DO SUL-RS,PAULO RICARDO S,N
RSI,RS,PORTO ALEGRE-RS,RIO GRANDE DO S,N
RSL,SC,RIO DO SUL-SC,WEB EXPRESS TRA,N
RSO,RS,SANTA MARIA-RS,ALL EXPRESS,N
RSU,RS,ROSARIO DO SUL-RS,LERINA SERVICOS,S
RVG,GO,RIO VERDE-GO,DIALOGO LOGISTI,S
SAG,RS,IJUI-RS,EXPRESSO PST,N
SAL,SP,JUNDIAI-SP,DIALOGO SALVADO,S
SAM,SP,SAO PAULO-SP,SANSUNG ELETRON,S
SAN,RS,IJUI-RS,A. L. LOGISTICA,N
SAO,SP,JUNDIAI-SP,DLG SAO PAULO,N
SAT,SP,SANTOS-SP,SAINTLOG SERVIC,N
SAV,BA,SALVADOR-BA,SALVADOR ENTREG,S
SBC,SP,SAO BERNARDO DO CAMP,ASAP LOG - LOGI,N
SBO,RS,URUGUAIANA-RS,JK TRANSPORTES,N
SCR,RS,SANTA CRUZ DO SUL-RS,GRANA TRANSPORT,N
SCZ,RS,SANTA CRUZ DO SUL-RS,ENDER ENTREGAS,N
SDR,BA,SALVADOR-BA,LOG STOPASSOLLI,S
SEP,SP,JUNDIAI-SP,DLG SEP,S
SER,SE,ARACAJU-SE,TRANSCRUZ SERVI,N
SGB,RS,SAO GABRIEL-RS,TRANSPORTES ELI,N
SGL,RJ,SAO GONCALO-RJ,WC LOG,S
SIR,ES,SERRA-ES,DELUNA SOLUCOES,S
SJC,SP,CACAPAVA-SP,VIMASA ENCOMEND,N
SJK,SP,JACAREI-SP,VPR DISTRIBUICA,N
SJM,RJ,SAO JOAO DE MERITI-R,WC LOG,S
SJP,SP,SAO JOSE DO RIO PRET,DISTRIB. E EDIT,N
SLI,RS,SANTANA DO LIVRAMENT,MACHADO TRANSPO,N
SLZ,MA,SAO LUIS-MA,MONTENEGRO EXPR,N
SMA,RS,SANTA MARIA-RS,ZOOM ENTREGAS R,N
SMO,SC,SAO MIGUEL DO OESTE-,X EXPRESS TRANS,S
SMR,RS,SANTA MARIA-RS,ALL EXPRESS,N
SMT,ES,COLATINA-ES,MOTO EXPRESS,S
SNT,SC,SOMBRIO-SC,SINISTROS DIALO,S
SOB,CE,SOBRAL-CE,TRANSLOGGADO,S
SOD,SP,SOROCABA-SP,DIALOGO SOROCAB,N
SOR,SP,SOROCABA-SP,PRIME LOGISTICA,N
SPA,SP,JUNDIAI-SP,DLG SPA,S
SPO,SP,JANDIRA-SP,DLG SAO PAULO,N
SRA,RS,SANTA ROSA-RS,VECTORIAL TRANS,N
SRC,SP,SOROCABA-SP,PK2U TECNOLOGIA,S
SRO,RS,SANTA ROSA-RS,KAEFER E KAEFER,N
SRR,ES,SERRA-ES,DELUNA SOLUCOES,S
SSA,BA,SALVADOR-BA,BAHIA LOGISTICA,N
SSR,BA,SIMOES FILHO-BA,DIALOGO SALVADO,N
SSZ,SP,SANTOS-SP,PONTUAL DISTRIB,N
STC,RS,LAJEADO-RS,J.K. DISTRIBUID,N
STM,RS,SANTA MARIA-RS,MODO LOGISTICA,S
STZ,RS,SANTA CRUZ DO SUL-RS,MISSOES DISTRIB,S
SUM,SP,SUMARE-SP,TRANSPORTES TRA,S
SVD,BA,SALVADOR-BA,GOLD TRANSPORTE,S
SVO,RJ,RIO DE JANEIRO-RJ,WC LOG,S
SVR,BA,SALVADOR-BA,MSR TRANSPORTES,N
TBR,SC,TUBARAO-SC,ICA LOGISTICA E,S
TES,RS,PORTO ALEGRE-RS,TESTE TESTE DIA,S
TFG,RS,PORTO ALEGRE-RS,TRAFEGO LTL,S
TID,RS,PORTO ALEGRE-RS,GASTOS CORPORAT,S
TLB,PR,TELEMACO BORBA-PR,RARUS TRANSPORT,N
TMV,RS,PORTO ALEGRE-RS,TMV TRANSPORTES,N
TOK,MG,CONTAGEM-MG,DLG JUNDIAI TOK,N
TRC,MG,TRES CORACOES-MG,DISTRIBUIDORA M,N
TRI,RS,TRAMANDAI-RS,JIT LOGISTICS,N
TUB,SC,TUBARAO-SC,TRANSTAC TRANSP,N
UBA,MG,UBERLANDIA-MG,LETS EXPRESS LO,S
UBD,MG,UBERLANDIA-MG,MARIMAR DISTRIB,S
UBI,MG,UBERABA-MG,RAPIDO EXPRESSO,S
